code,date,open,high,close,low
000636,2017-05-12,8.239,8.269,8.209,8.1
000636,2017-05-15,8.219,8.269,8.209,8.08
000636,2017-05-16,8.179,8.427,8.427,8.08
000636,2017-05-17,8.407,8.586,8.437,8.358
000636,2017-05-18,8.358,8.497,8.398,8.348
000636,2017-05-19,8.368,8.805,8.636,8.368
000636,2017-05-22,8.546,8.675,8.616,8.338
000636,2017-05-23,8.556,8.636,8.398,8.328
000636,2017-05-24,8.398,8.398,8.199,8.06
000636,2017-05-25,8.219,8.368,8.288,8.04
000636,2017-05-26,8.288,8.398,8.298,8.239
000636,2017-05-31,8.368,8.477,8.119,8.04
000636,2017-06-01,8.06,8.129,7.612,7.463
000636,2017-06-02,7.522,7.711,7.652,7.472
000636,2017-06-05,7.662,7.741,7.691,7.592
000636,2017-06-06,7.691,7.781,7.731,7.632
000636,2017-06-07,7.88,7.98,7.97,7.831
000636,2017-06-08,7.97,8.05,7.94,7.92
000636,2017-06-09,7.94,7.97,7.96,7.831
000636,2017-06-12,7.93,8.06,7.861,7.851
000636,2017-06-13,7.811,8.119,8.0,7.811
000636,2017-06-14,8.0,8.04,7.94,7.93
000636,2017-06-15,7.93,8.06,8.01,7.91
000636,2017-06-16,8.01,8.05,8.04,7.97
000636,2017-06-19,8.01,8.089,8.06,8.0
000636,2017-06-20,8.089,8.199,8.109,8.04
000636,2017-06-21,8.179,8.458,8.458,8.179
000636,2017-06-22,8.557,8.776,8.358,8.278
000636,2017-06-23,8.348,8.487,8.378,8.159
000636,2017-06-26,8.358,8.577,8.557,8.278
000636,2017-06-27,8.517,8.885,8.766,8.497
000636,2017-06-28,8.706,8.756,8.627,8.537
000636,2017-06-29,8.597,8.676,8.617,8.507
000636,2017-06-30,8.607,8.617,8.467,8.438
000636,2017-07-03,8.458,8.657,8.657,8.408
000636,2017-07-04,8.657,8.905,8.836,8.517
000636,2017-07-05,8.925,9.064,8.935,8.756
000636,2017-07-06,8.846,9.035,8.925,8.786
000636,2017-07-07,8.945,9.055,9.035,8.826
000636,2017-07-10,8.985,9.035,8.836,8.816
000636,2017-07-11,8.836,8.905,8.547,8.537
000636,2017-07-12,8.587,8.676,8.667,8.458
000636,2017-07-13,8.647,9.025,9.015,8.517
000636,2017-07-14,8.915,8.955,8.806,8.736
000636,2017-07-17,8.766,8.786,8.159,8.159
000636,2017-07-18,8.179,8.378,8.358,8.079
000636,2017-07-19,8.388,8.567,8.507,8.328
000636,2017-07-20,8.497,8.706,8.567,8.448
000636,2017-07-21,8.557,8.667,8.577,8.467
000636,2017-07-24,8.567,8.657,8.547,8.477
000636,2017-07-25,8.547,8.796,8.647,8.517
000636,2017-07-26,8.617,8.995,8.955,8.418
000636,2017-07-27,8.935,9.363,9.174,8.885
000636,2017-07-28,9.055,9.403,9.264,8.975
000636,2017-07-31,9.134,9.273,9.234,9.055
000636,2017-08-01,9.164,9.194,9.025,8.915
000636,2017-08-02,9.114,9.293,9.025,9.025
000636,2017-08-03,8.995,9.184,9.154,8.945
000636,2017-08-04,9.204,9.254,9.005,9.005
000636,2017-08-07,8.905,8.995,8.965,8.826
000636,2017-08-08,8.975,9.045,8.915,8.885
000636,2017-08-09,8.875,8.915,8.826,8.686
000636,2017-08-10,8.925,9.711,9.463,8.925
000636,2017-08-11,9.254,9.492,9.144,9.074
000636,2017-08-14,9.244,9.602,9.472,9.184
000636,2017-08-15,9.423,10.129,9.94,9.363
000636,2017-08-16,9.91,10.01,9.95,9.622
000636,2017-08-17,9.87,9.9,9.801,9.681
000636,2017-08-18,9.701,9.761,9.532,9.463
000636,2017-08-21,9.552,9.691,9.562,9.502
000636,2017-08-22,9.582,9.642,9.303,9.244
000636,2017-08-23,9.273,9.343,9.303,9.134
000636,2017-08-24,9.303,9.303,9.025,9.005
000636,2017-08-25,9.055,9.194,9.144,9.025
000636,2017-08-28,9.144,9.323,9.303,9.144
000636,2017-08-29,9.303,9.313,9.144,9.124
000636,2017-08-30,9.134,9.254,9.214,9.124
000636,2017-08-31,9.214,9.403,9.373,9.204
000636,2017-09-01,9.323,9.453,9.413,9.283
000636,2017-09-04,9.433,9.572,9.532,9.353
000636,2017-09-05,9.512,9.532,9.343,9.313
000636,2017-09-06,9.433,9.831,9.731,9.433
000636,2017-09-07,9.632,9.731,9.681,9.592
000636,2017-09-08,9.751,10.02,9.9,9.751
000636,2017-09-11,9.841,10.179,10.109,9.781
000636,2017-09-12,10.04,10.249,9.761,9.761
000636,2017-09-13,9.671,9.861,9.671,9.512
000636,2017-09-14,9.681,9.731,9.522,9.463
000636,2017-09-15,9.502,9.662,9.612,9.492
000636,2017-09-18,9.592,9.751,9.731,9.522
000636,2017-09-19,9.691,9.751,9.522,9.463
000636,2017-09-20,9.492,9.9,9.811,9.383
000636,2017-09-21,9.771,9.98,9.681,9.632
000636,2017-09-22,9.671,10.0,9.91,9.502
000636,2017-09-25,9.88,9.93,9.403,9.383
000636,2017-09-26,9.313,9.453,9.363,9.234
000636,2017-09-27,9.383,9.463,9.403,9.353
000636,2017-09-28,9.363,9.512,9.353,9.343
